uid,ward_id,ward_name,ward_name_kn,corporation,zone,zone_name,ac,ac_no,assembly,ro_division,aro,area_sqkm,pop,male,female,bus,bus_cov,metro,metro_cov,road_km,road_density,polling,parks,parks_cov,playgrounds,playground_area_sqkm,open_space_pc,lakes,lake_cov,lake_area_sqkm,ponds,pond_area_sqkm,water_cov_pct,flood_vuln,flood_prone,low_lying,drain_primary,drain_secondary,drain_tertiary,drain_total,drain_density,schools,anganwadi,anganwadi_per_1000,toilet_cov,toilets,police,police_outpost,railway_police,fire,neighbourhoods,contact_corporator,contact_party,contact_aee,contact_aee_phone,contact_aro_name,contact_aro_phone,old_wards,reservation
Central-21,21,Konena Agrahara,ಕೋನೇನ ಅಗ್ರಹಾರ,Central,Zone1,C.V. Raman Nagar,C.V. Raman Nagar,161,161 - C.V. Raman Nagar,RO- Jeevan Bhimanagar,ARO- Konena Agrahara,1.478,26714,14128,12587,8,90.4,0,,27.27,18.45,23,0,19.4,0,0.0,0.0,1,50.1,0.0589,0,0.0,3.99,0,1,1,1.04,1.8,3.08,5.91,4.0,9,4,0.15,3.7,0,0,0,0,0,Air View Colony; Annaniappa Layout; KR Garden; Kaveri Nagara; Konena Agrahara; MES Colony; Manjunath Nagar; Muniyappa Layout; Murugeshpalaya; Rustum Bagh; SR Layout; Sri Ram Nagar; Thimmah Reddy Colony; Vinayaka Nagar A Block; Vinayaka Nagar B Block,Chandrappa Reddy,Others,Vijaykumar,9880229169,Nagaraju,9480683511,Konena Agrahara (99.9%),General (Women)
Central-22,22,Domluru,ದೊಮ್ಮಲೂರು,Central,Zone1,C.V. Raman Nagar,Shanthinagar,163,163 - Shanthinagar,RO - Shanthinagar,ARO- Domluru,1.154,19982,10120,9862,11,100.0,0,0.0,33.05,28.63,19,4,98.7,1,0.01,0.5,0,,0.0,1,0.0,0.0,0,1,0,0.84,0.9,0.0,1.74,1.51,5,0,0.0,90.3,1,0,0,0,0,Amarjyothi Layout; Domlur; Domlur 1st Stage; Domlur 2nd Stage; Domlur BDA Layout; Domlur Village; Doopanahalli; Gowtham Colony; Krishna Reddy Colony,Lakshminarayan,Others,Hegde,9448094660,Nagaraju,9480683511,Domlur (99.9%),"Backward Class ""B"" (Women)"
Central-23,23,Jogpalya,ಜೋಗಪಾಳ್ಯ,Central,Zone1,C.V. Raman Nagar,Shanthinagar,163,163 - Shanthinagar,RO - Shanthinagar,ARO- Domluru,1.087,25803,12923,12879,3,100.1,0,96.2,28.13,25.87,22,3,100.1,2,0.016,0.62,0,,0.0,0,0.0,0.0,2,1,0,0.29,0.23,1.09,1.61,1.48,20,2,0.08,4.7,0,0,0,0,0,Appareddipalaya; Cambridge Layout; Eshwara Layout; Indiranagar; Indiranagar 3rd Stage; Jogupalya; Keshavaraj Layout; Motappanapalya; Someshwarapura,Gautham Kumar,BJP,Hegde,9448094660,Prathap,9451792251,Jogupalya (59.5%); Domlur (30.8%); Agaram (9.7%),General (Women)
Central-24,24,Agaram,ಅಗರಂ,Central,Zone1,C.V. Raman Nagar,Shanthinagar,163,163 - Shanthinagar,RO - Shanthinagar,ARO- Domluru,11.03,28081,14088,13993,26,60.5,0,7.4,111.61,10.12,19,2,38.1,14,0.5298,18.87,0,2.1,0.8633,7,0.0337,8.13,0,0,2,4.3,2.27,7.03,13.6,1.23,18,2,0.07,16.6,1,1,1,0,0,Gowthamapura; ISRO Colony; Saraswathipuram; Siddhartha Nagar,Bhavya,BJP,Hegde,9448094660,Nagaraju,9480683511,Agaram (95%); Domlur (2.4%); Jogupalya (2.3%),Scheduled Caste
Central-25,25,Ashokanagar,ಅಶೋಕನಗರ,Central,Zone1,C.V. Raman Nagar,Shanthinagar,163,163 - Shanthinagar,RO - Shanthinagar,ARO- Shanthinagar,3.921,21804,10895,10909,45,100.1,1,52.8,59.9,15.28,27,4,80.6,15,0.1958,8.98,0,0.1,0.0,0,0.0,0.0,2,2,0,2.33,0.28,0.29,2.9,0.74,44,0,0.0,75.8,2,3,0,0,1,Anglo-Indian Quarters; Arab Lines; Ashok Nagar; Corporation Quarters; Craig Park Layout; D'Souza Layout; Officers Colony; Shanthala Nagar; Victoria Layout; Xavier Layout; Yellagondanpalya,M B Dwarakanath,BJP,Raghavendra,7760261043,Anand,9480684336,Shantala Nagar (93%); Shanthi Nagar (7%),"Backward Class ""B"" (Women)"
Central-26,26,Vannarpet,ವನ್ನಾರ್‌ಪೇಟೆ,Central,Zone1,C.V. Raman Nagar,Shanthinagar,163,163 - Shanthinagar,RO - Shanthinagar,ARO- Neelasandra,0.519,22858,11322,11536,6,100.1,0,,19.25,37.08,11,1,95.7,1,0.0008,0.04,0,,0.0,0,0.0,0.0,0,1,0,0.79,0.17,0.0,0.96,1.85,15,3,0.13,60.8,0,0,0,0,0,Rudrappa Garden; Vannarapete; Viveknagar,K Shivakumar,BJP,Hegde,9448094660,Nagaraju,9480683511,Vannarpet (54.7%); Agaram (44.9%),Scheduled Tribes
Central-27,27,Ambedkarnagar,ಅಂಬೇಡ್ಕರ್‌ನಗರ,Central,Zone1,C.V. Raman Nagar,Shanthinagar,163,163 - Shanthinagar,RO - Shanthinagar,ARO- Neelasandra,0.391,27816,14227,13589,11,100.1,0,,14.67,37.52,18,1,80.3,1,0.0052,0.19,0,,0.0,0,0.0,0.0,2,0,0,0.95,0.38,0.26,1.58,4.05,6,6,0.22,73.8,0,1,0,0,0,Ambedkar Nagar; L.R. Nagar 1st Stage; L.R. Nagar 2nd Stage,K Shivakumar,BJP,Hegde,9448094660,Nagaraju,9480683511,Vannarpet (53.6%); Nilasandra (45.5%); Agaram (0.9%),Scheduled Caste
Central-28,28,Neelasandra,ನೀಲಸಂದ್ರ,Central,Zone1,C.V. Raman Nagar,Shanthinagar,163,163 - Shanthinagar,RO - Shanthinagar,ARO- Neelasandra,0.264,24853,13017,11836,0,100.1,0,,7.91,29.93,12,0,47.4,0,0.0,0.0,0,,0.0,0,0.0,0.0,0,0,0,0.2,0.0,0.0,0.2,0.75,4,0,0.0,99.3,0,0,0,0,0,Neelasandra,Balakrishnan G,INC,Raghavendra,7760261043,Nagaraju,9480683511,Nilasandra (99.3%); Vannarpet (0.7%),"Backward Class ""A"" (Women)"
Central-29,29,Austin Town,ಆಸ್ಟಿನ್ ಟೌನ್,Central,Zone1,C.V. Raman Nagar,Shanthinagar,163,163 - Shanthinagar,RO - Shanthinagar,ARO- Vinayakanagar,0.423,19730,9923,9807,9,100.1,0,,14.44,34.1,25,0,100.1,2,0.0078,0.39,0,,0.0,0,0.0,0.0,0,0,0,0.2,0.02,0.2,0.42,0.99,12,2,0.1,40.9,0,0,0,0,0,Austin Town; Austin Town BDA Layout,K Shivakumar,BJP,Hegde,9448094660,Nagaraju,9480683511,Vannarpet (59.2%); Agaram (35.1%); Shantala Nagar (5.2%),"Backward Class ""A"""
Central-30,30,Vinayakanagar,ವಿನಾಯಕನಗರ,Central,Zone1,C.V. Raman Nagar,Shanthinagar,163,163 - Shanthinagar,RO - Shanthinagar,ARO- Vinayakanagar,1.277,21367,11262,10104,15,100.1,0,1.9,24.38,19.09,19,0,71.6,5,0.1229,5.75,0,,0.0,0,0.0,0.0,2,0,0,1.05,0.02,0.18,1.25,0.98,15,2,0.09,21.1,0,0,0,0,0,Anepalya; Gajendra Nagara; JK Pura,P Sowmya,INC,Raghavendra,7760261043,Ramakrishna,9480683660,Shanthi Nagar (93.1%); Nilasandra (6.7%),General (Women)
